Rule,Applies To,Reference,,Priority,Severity,Comment
A multi-worded BDT qualifier term shall have a unique semantic meaning compared to the words separately.,BDTs,[D213],,3,,
A qualifying BDT hierarchy shall be established when multiple qualifiers are used.,BDTs,[D214],,3,,
"BDT usage rules shall not replicate BDT content component, BDT supplementary component, or BDT business value domain usage rules.",BDTs,[D216],,2,,
"The BDT DEN shall consist of the data type term and data type term qualifiers, if any, followed by a dot, a space character, and the term type.",BDTs,[D234],,1,E,
"The BDT definition shall include the BDT data type term and data type qualifier terms, if any.",BDTs,[D236],,2W,,
"A BDT content component shall inherit all of the properties and restrictions, including the name, of the CDT content component of the basis CDT.",BDT Content Components,[D245],,1,E,
"BDT content component usage rules shall not replicate BDT, BDT supplementary component, or BDT business value domain usage rules.",BDT Content Components,[D249],,2,,
BDT content component usage rules shall not replicate BDT business value domain restrictions.,BDT Content Components,[D250],,2,,
A BDT content component usage rule shall have zero or one names that are unique within the group of usage rules of a BDT content component.,BDT Content Components,[D258],,2,,
The DEN of a BDT content component shall be the DEN of the CDT content component of the basis CDT.,BDT Content Components,[D266],,1,E,
The BDT content component definition shall include the primitive type term and the definition of the source representation term.,BDT Content Components,[D268],,2W,,
"A BDT content component value domain shall inherit all of the properties and restrictions, including the name of the basis CDT content component core value domain.",BDT Content Components,[D277],,1,E,
Domain restrictions of a BDT content or supplementary component business value domain shall only be used to define restrictions on possible values.,"BDT Content Components, BDT Supplementary Components","[D283], [D370]",,3W,,
BDT content or supplementary component business value domain domain restrictions shall be limited to those allowed for the primitive of the basis CDT content or supplementnary component as specified in the UN/CEFACT Data Type Catalogue.,"BDT Content Components, BDT Supplementary Components","[D285], [D372]",,3,,
Each BDT content or supplementary component business value domain domain restriction shall have zero or one component restrictions for each facet type.,"BDT Content Components, BDT Supplementary Components","[D286], [D373]",,1,E,
"Each BDT content or supplementary component business value domain – domain restriction shall contain the following attributes:
• Facet Type (mandatory): Identifies the facet being defined.
• Facet Value (mandatory): The actual facet restriction value.
• Facet Language (mandatory for expression/not used otherwise): For a facet type of expression, defines the language of the regular expression of the facet value such as Perl, W3C XML Schema Definition Language, JAVA, or Microsoft .Net.","BDT Content Components, BDT Supplementary Components","[D287], [D374]",,2,,
Each BDT content or supplementary component business value domain business identifier scheme set of allowed values shall be equal to or less than the set of allowed values of its basis CDT content or supplementary component core value domain core identifier scheme or less restricted BDT content or supplementary component core value domain business identifier scheme.,"BDT Content Components, BDT Supplementary Components","[D302], [D389]",,2,,
Each BDT content or supplementary component business value domain business code list set of allowed values shall be equal to or less than the set of allowed values of its basis CDT content or supplementary component core value domain core code list or less restricted BDT content or supplementary component core value domain business code list.,"BDT Content Components, BDT Supplementary Components","[D304], [D393]",,2,,
"BDT content component business value domain usage rules shall not replicate BDT, BDT content component, BDT supplementary component or BDT supplementary component business value domain usage rules.",BDT Content Components,[D311],,2,,
"A BDT supplementary component shall inherit all of the properties and restrictions, including the name of the CDT supplementary component of the basis CDT.",BDT Supplementary Components,[D325],,1,E,
Each BDT supplementary component property term shall be the same as the source CDT supplementary component of the source CDT.,BDT Supplementary Components,[D327],,1,E,
Each BDT supplementary component representation term shall be the same as the CDT supplementary component of the source CDT.,BDT Supplementary Components,[D329],,1,E,
An unqualified BDT shall include the same supplementary components as its basis CDT.,BDT Supplementary Components,[D332],,1,E,
The cardinality of a supplementary component of an unqualified BDT shall be the same as its basis CDT.,BDT Supplementary Components,[D333],,1,E,
A BDT supplementary component occurrence shall only be restricted and never extended.,BDT Supplementary Components,[D334],,1,E,
"BDT supplementary component usage rules shall not replicate BDT, BDT content component, or BDT core value domain usage rules.",BDT Supplementary Components,[D336],,1,E,
A BDT supplementary component usage rule shall have zero or one names that are unique within the group of usage rules of a BDT supplementary component.,BDT Supplementary Components,[D344],,1,E,
The DEN of a BDT supplementary component shall be the DEN of the CDT supplementary component of the source CDT.,BDT Supplementary Components,[D352],,1,E,
"The BDT supplementary component definition shall include the data type term of the BDT to which it belongs, the property term and the representation term.",BDT Supplementary Components,[D355],,1,E,
"A BDT supplementary component business value domain shall inherit all of the properties and restrictions, including the name of the basis CDT supplementary component business value domain.",BDT Supplementary Components,[D364],,1,E,
"BDT supplementary component business value domain usage rules shall not replicate BDT, BDT content component, BDT content component business value domain, or BDT supplementary component usage rules.",BDT Supplementary Components,[D398],,1,E,
"Business context shall contain the combination of values for all approved context categories so as to define a unique and meaningful business context. In order to ensure uniqueness, every business context will have assigned a:
• Unique Identifier (mandatory): The identifier that references the business context in a unique and unambiguous way.
• Version Identifier (mandatory): An indication of the evolution over time of the business context instance.",Context,[X1],,1,E,
"When describing a specific business context, a value or set of values shall be assigned to each of the approved context categories.",Context,[X4],,1,E,
"Context values shall be defined as one of the eight recognized types:
• business process context value
• product context value
• industry context value
• geopolitical context value
• official constraints context value
• business process role context value
• supporting role context value 
• or system capabilities context value.",Context,[X5],,1,E,
"Each context value shall include the following attributes:
• Value (mandatory): Value describing a particular context.
• Meaning (mandatory): Description of the meaning of the corresponding value.",Context,[X6],,1,E,
"Context classification schemes shall include the following attributes:
• Context category (mandatory): Name used to identify the approved context category for which the classification scheme can be used.
• Name (mandatory): Name under which the classification scheme is known.
• Definition (mandatory): Definition of the classification scheme. 
• Primitive Type (mandatory): Primitive type that is used for the representation of a context value in the classification scheme.
• Hierarchy (mandatory): Indicator describing whether the classification scheme supports a hierarchical description of the context.
• Owner (mandatory): Organization that is responsible for the classification scheme.",Context,[X7],,1,E,
Assigned business process contexts shall be from the standard hierarchical classification provided as part of the UN/CEFACT Catalogue of Common Business Processes.,Business Process Context,[X8],,3,,
"Business process context values may be expressed as a single business process, or as a hierarchical set of business processes.",Business Process Context,[X9],,3,,
Business process context values may be taken from extensions to the business processes described in the UN/CEFACT Catalogue of Common Business Processes as provided for in that document.,Business Process Context,[X10],,3,,
"When business process extensions are used, they shall include full information for each value sufficient to unambiguously identify which extension is providing the value used.",Business Process Context,[X11],,3,,
A single value or set of values may be used in a product classification context.,Product Classification Context,[X12],,3,,
"If a hierarchical system of values is used for product classification context, then these values may be at any level of the hierarchy.",Product Classification Context,[X13],,3,,
"If more than one classification system is being employed, an additional value specifying which classification scheme has supplied the values used shall be conveyed.",Product Classification Context,[X14],,3,,
"Product classification context code values shall be taken from recognized code lists to include:
• Universal Standard Product and Service Specification (UNSPSC)
o Custodian: GS1
• Standard International Trade Classification (SITC Rev .3)
o Custodian: United Nations Statistics Division (UNSD)
• Harmonized Commodity Description and Coding System (HS)
o Custodian: World Customs Organization (WCO)
• Classification Of the purposes of non Profit Institutions serving households (COPI)
o Custodian: UNSD (This provides a mapping between the first three.)",Product Classification Context,[X15],,3,,
An industry classification context may contain a single value or set of values at any appropriate level of the value hierarchy.,Industry Classification Context,[X16],,3,,
The industry classification context value hierarchy must be identified.,Industry Classification Context,[X17],,3,,
"Industry classification context code values shall be taken from recognized code lists to include:
• International Standard Industrial Classification (ISIC)
o Custodian: UNSD
• Universal Standard Product and Service Specification (UNSPSC) Toplevel Segment [digits 1 and 2] used to define industry.
o Custodian: ECCMA",Industry Classification Context,[X18],,3,,
"Geopolitical context shall consist of appropriate continent, economic region, country, and region identifiers.",Geopolitical Context,[X19],,3,,
Geopolitical context may associate one or more values with any component.,Geopolitical Context,[X20],,3,,
"Geopolitical context shall employ the following values:
• Continent
• Country – ISO 3166.1
• Country Sub-entity - ISO 3166.2
• Economic Region
• Global
• Multi lateral Organizations",Geopolitical Context,[X21],,3,,
"At any level of geopolitical context, a value may be a single value, a named aggregate or cross-border value.",Geopolitical Context,[X22],,3,,
"Geopolitical context values shall be structured as follows:
• Single Value: A single value indicating a single continent, economic region, country, or region, depending on position within the hierarchy.
• Named Aggregate: A related group of values (which may themselves be single values, named aggregates, or cross-border pairs of values), which have been related and assigned a name. A named aggregate contains at least two values.
• Cross-Border: One or more pairs of values, designated To, From, or Bi-directional, indicating the direction of cross-border Context. Values may be named aggregates or single values.",Geopolitical Context,[X23],,3,,
"Points in geopolitical context values shall be specified by either a single value, or combination of values.",Geopolitical Context,[X24],,3,,
The full path of the geopolitical context value must be used to understand the hierarchy when complex constructs are employed.,Geopolitical Context,[X25],,3,,
A specific level in the geopolitical context value is understood to inherit all of the properties within its specific path except where otherwise specified.,Geopolitical Context,[X26],,3,,
Geopolitical context values shall be taken from ISO 3166.1 and 3166.2.,Geopolitical Context,[X27],,3,,
"The official constraints context shall consist of at least two values:
• Identification of the legal or other classification used to identify the context values.
• Identification of the official constraint itself. These values may represent a hierarchical structure depending on the official constraints system being referenced.",Official Constraints Context,[X28],,3,,
Individual core component implementations shall register used official constraint classification schemes with the appropriate supporting core components registry implementation.,Official Constraints Context,[X29],,3,,
Business process role context values shall be taken from an approved list provided by the business process model library being employed.,Business Process Role Context,[X30],,3,,
The UN/CEFACT Catalogue of Common Business Processes shall be the definitive source of business process role context values for all UN/CEFACT BIEs.,Business Process Role Context,[X31],,3,,
Supporting role context values shall be taken from the UN/EDIFACT code list for DE 3035 party roles.,Supporting Role Context,[X32],,3,,
Systems capabilities context values shall consist of pairs of values. Each pair shall be comprised of an identification of the referenced classification scheme and the value(s) being employed.,System Capabilities Context,[X33],,3,,
The In All Contexts value shall be a valid value for every context category except for official constraints context.,Context,[X34],,1,E,
The value None shall be a valid value for official constraints context.,Context,[X35],,1,E,
